Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2008,All Houses,"2,118.749",6.251,2.1%,2.3%,16.3%,20.0%,2.8%,6.9%,3 br Houses,"2,096.875",28.125,21.6%,21.6%,21.6%,15.8%,0.7%,10.7%,All Units,810.683,-11.683,2.8%,1.6%,-14.2%,0.3%,0.3%,2.5%,2 br Units,"1,230.631",-56.631,-5.2%,2.4%,6.9%,1.1%,-1.0%,2.6%,Combined,"1,071.642",-9.083,2.4%,1.6%,-4.9%,6.0%,0.8%,3.8%,2008
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2009,All Houses,"2,875.426",74.574,-20.3%,-5.3%,55.5%,-12.5%,12.3%,6.3%,3 br Houses,"3,498.674",1.326,0.6%,100.9%,100.9%,21.9%,1.1%,6.0%,All Units,772.137,-9.637,-11.7%,17.9%,8.7%,4.3%,-1.4%,0.4%,2 br Units,"1,270.007",4.993,1.6%,22.7%,11.6%,3.6%,-1.2%,2.0%,Combined,883.547,-5.276,-13.3%,13.1%,14.6%,0.3%,0.2%,1.2%,2009
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2010,All Houses,"2,104.914",-29.914,-3.4%,-8.8%,-1.7%,2.0%,2.0%,4.2%,3 br Houses,"2,189.874",60.126,-10.2%,6.9%,7.9%,3.4%,5.2%,5.2%,All Units,843.583,11.417,4.8%,23.3%,13.7%,-4.7%,0.6%,2.7%,2 br Units,"1,278.530",-28.530,-2.1%,-9.2%,-4.4%,-1.9%,-1.8%,1.8%,Combined,"1,194.226",-0.411,0.6%,5.0%,5.0%,-1.9%,1.2%,3.3%,2010
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2011,All Houses,"3,400.000",0.000,0.0%,-0.1%,-1.0%,7.2%,7.9%,7.7%,3 br Houses,"3,221.000",0.000,0.0%,0.0%,0.0%,0.0%,13.8%,5.0%,All Units,740.682,-31.682,-6.1%,-1.3%,3.0%,7.7%,-0.8%,3.2%,2 br Units,"1,583.794",66.206,-9.7%,-23.6%,-0.1%,8.2%,4.2%,3.8%,Combined,"1,040.327",-28.724,-4.0%,-1.0%,0.9%,7.0%,1.6%,4.5%,2011
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2015,All Houses,"1,957.448",-7.448,-7.6%,-18.9%,-10.6%,6.9%,5.8%,7.3%,3 br Houses,"1,888.877",11.123,3.7%,7.1%,-13.6%,2.3%,5.3%,5.3%,All Units,910.246,14.754,19.9%,26.8%,12.8%,6.2%,4.1%,4.3%,2 br Units,968.096,-43.096,-10.7%,4.2%,-14.9%,1.7%,1.0%,3.5%,Combined,"1,211.582",8.742,5.4%,0.6%,0.2%,6.1%,4.7%,5.5%,2015
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2016,All Houses,"1,848.889",63.611,3.7%,13.2%,-33.6%,14.1%,2.9%,7.9%,3 br Houses,"2,050.658",374.342,18.2%,26.7%,55.3%,-5.9%,3.2%,3.2%,All Units,829.615,30.385,3.9%,-8.7%,34.8%,-3.3%,-0.3%,0.0%,2 br Units,"1,724.539",25.461,23.8%,12.0%,51.9%,9.6%,7.6%,6.4%,Combined,"1,228.552",43.206,3.8%,3.0%,-16.3%,5.5%,1.5%,3.8%,2016
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2017,All Houses,"1,389.586",10.414,4.2%,29.4%,-8.9%,9.0%,5.4%,7.0%,3 br Houses,"2,517.896",50.604,22.9%,46.0%,-4.4%,22.0%,9.6%,8.5%,All Units,967.379,12.621,-1.2%,1.0%,7.2%,2.6%,1.3%,3.1%,2 br Units,"1,049.989",0.011,0.0%,5.0%,8.5%,1.4%,1.4%,3.2%,Combined,"1,000.166",12.452,-0.6%,3.5%,5.2%,3.2%,1.7%,3.5%,2017
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2018,All Houses,"2,161.665",138.335,14.6%,23.1%,33.5%,17.9%,10.4%,8.4%,3 br Houses,"2,011.671",-74.171,-1.2%,0.3%,11.9%,10.2%,4.5%,6.5%,All Units,864.765,0.235,-1.3%,-6.2%,-1.1%,0.8%,0.9%,4.4%,2 br Units,917.481,-2.481,-0.2%,-5.7%,3.1%,1.4%,0.1%,3.7%,Combined,"1,186.676",34.041,5.3%,5.0%,11.8%,6.9%,4.3%,5.9%,2018
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2019,All Houses,"1,251.048",-241.048,26.8%,13.4%,6.1%,2.8%,5.2%,4.8%,3 br Houses,"1,361.666",0.001,0.0%,0.3%,8.8%,5.8%,4.6%,4.0%,All Units,732.527,-2.527,0.3%,1.0%,7.3%,-3.8%,-1.3%,1.7%,2 br Units,780.994,-0.994,2.0%,2.3%,-2.0%,-3.1%,-1.8%,1.6%,Combined,908.617,-84.467,11.1%,6.3%,6.2%,-1.2%,1.3%,2.9%,2019
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2020,All Houses,"2,114.116",360.884,19.0%,23.6%,31.2%,29.0%,14.0%,9.9%,3 br Houses,"1,806.305",18.695,6.2%,25.9%,19.5%,15.9%,6.6%,6.6%,All Units,768.006,21.994,-3.2%,1.8%,2.2%,-3.4%,-3.1%,2.5%,2 br Units,849.556,15.444,2.0%,-2.9%,5.4%,0.0%,-1.5%,2.3%,Combined,"1,107.800",106.962,6.3%,11.1%,13.7%,7.7%,2.6%,5.3%,2020
