Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2008,All Houses,"1,282.50",-32.50,3.0%,13.6%,-5.5%,17.0%,8.1%,3.1%,3 br Houses,"1,229.26",-54.26,-14.8%,6.3%,4.1%,13.3%,2.5%,-0.5%,All Units,873.07,-23.07,-0.1%,2.5%,0.8%,18.8%,6.7%,4.5%,2 br Units,"1,177.28",22.72,3.6%,-4.5%,14.3%,20.6%,6.2%,5.6%,Combined,970.30,-25.31,0.8%,5.7%,-1.6%,17.9%,7.1%,3.9%,2008
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2009,All Houses,"1,414.64",-14.64,-4.7%,17.1%,28.2%,26.8%,5.2%,4.3%,3 br Houses,"1,466.43",-66.43,-21.5%,1.9%,30.4%,20.9%,4.1%,2.4%,All Units,"1,070.36",-20.36,3.3%,12.5%,13.8%,18.2%,4.6%,4.1%,2 br Units,"1,099.85",0.15,5.0%,9.9%,13.3%,16.5%,3.9%,3.5%,Combined,"1,086.22",-20.09,2.8%,12.8%,14.6%,18.6%,4.7%,4.1%,2009
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2010,All Houses,"1,356.13",-8.13,-7.7%,1.9%,-7.4%,20.3%,2.0%,4.2%,3 br Houses,"1,572.52",52.48,1.8%,8.8%,-10.6%,20.7%,3.1%,3.1%,All Units,793.11,-33.11,-4.9%,0.1%,3.1%,15.0%,2.6%,3.4%,2 br Units,"1,100.36",-10.36,-3.1%,4.4%,5.4%,16.3%,3.4%,3.6%,Combined,954.78,-25.94,-6.0%,0.8%,-1.5%,17.0%,2.3%,3.7%,2010
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2011,All Houses,"1,138.45",-58.45,-34.4%,-21.2%,-9.9%,10.1%,1.4%,2.9%,3 br Houses,"1,842.10",-12.10,-13.5%,9.9%,34.1%,31.0%,4.6%,2.0%,All Units,807.60,-19.60,8.5%,7.8%,11.0%,21.0%,4.4%,4.2%,2 br Units,"1,152.26",-2.26,-5.2%,-2.7%,-6.7%,17.5%,2.7%,3.0%,Combined,851.60,-24.77,-2.8%,1.1%,6.5%,18.5%,3.7%,3.9%,2011
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2012,All Houses,225.00,225.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3 br Houses,0.00,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,All Units,450.00,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2 br Units,450.00,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Combined,450.00,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2012
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2015,All Houses,"1,352.52",-52.52,2.8%,5.7%,-9.1%,10.8%,8.6%,5.1%,3 br Houses,"1,399.17",-24.17,0.9%,-4.3%,-6.7%,10.4%,2.8%,4.8%,All Units,830.13,-20.13,3.2%,5.6%,9.4%,16.5%,4.3%,3.3%,2 br Units,911.53,-11.53,-2.4%,6.2%,1.9%,12.4%,3.3%,3.6%,Combined,981.92,-29.54,3.1%,5.7%,1.4%,14.2%,5.8%,4.0%,2015
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2016,All Houses,"1,199.73",-101.73,-1.1%,3.0%,16.0%,14.4%,3.6%,5.1%,3 br Houses,"1,362.48",12.52,2.5%,2.7%,35.7%,16.5%,5.2%,6.4%,All Units,915.34,4.66,4.1%,8.5%,16.2%,18.9%,5.5%,4.7%,2 br Units,"1,018.26",-18.26,2.2%,9.4%,9.1%,16.3%,3.9%,4.3%,Combined,"1,014.42",-32.41,1.9%,6.1%,16.0%,16.8%,4.6%,4.8%,2016
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2017,All Houses,"1,171.06",28.94,-1.3%,6.7%,-2.3%,19.0%,4.1%,4.9%,3 br Houses,"1,631.25",18.75,8.8%,9.6%,10.1%,22.9%,6.0%,6.1%,All Units,"1,072.40",-22.40,-3.2%,3.4%,7.5%,18.2%,6.0%,5.1%,2 br Units,"1,153.66",11.34,-8.3%,5.5%,9.9%,19.1%,5.8%,5.4%,Combined,"1,080.09",-18.39,-3.1%,3.7%,6.6%,18.2%,5.8%,5.1%,2017
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2018,All Houses,"1,261.30",-11.30,6.8%,12.3%,-0.3%,27.3%,8.2%,7.2%,3 br Houses,"1,404.28",-4.28,-4.4%,12.9%,5.9%,24.4%,9.6%,6.9%,All Units,916.25,-16.25,-2.3%,-0.7%,-5.6%,22.7%,6.2%,6.9%,2 br Units,957.31,-17.31,-4.0%,0.8%,-6.0%,22.0%,5.8%,7.2%,Combined,984.25,-15.27,-0.2%,2.3%,-4.3%,23.7%,6.7%,6.9%,2018
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2019,All Houses,"1,125.97",-135.97,1.8%,-6.4%,-1.9%,20.2%,4.5%,5.0%,3 br Houses,"1,419.62",-19.62,7.3%,-4.5%,23.2%,19.8%,9.0%,7.8%,All Units,864.14,-14.14,-0.2%,-2.5%,0.1%,15.8%,6.7%,4.4%,2 br Units,958.01,1.99,2.1%,7.0%,3.3%,18.2%,6.0%,6.0%,Combined,919.23,-39.77,0.3%,-3.6%,-0.6%,16.7%,5.9%,4.5%,2019
